song_code,code_1,artist,title,Num_Raters,wond,tran,tend,nost,peac,joya,ener,sadn,tens
H015,H015,2Pac,All Eyez On Me,28,8.4375,6.011904762,9.266071429,7.34375,17.58928571,15.6202381,12.91428571,0.80952381,12.54761905
H060,H060,2Pac,Keep Ya Head Up,24,4.895833333,6.024305556,4.9,5.520833333,19.809375,13.65972222,5.891666667,3.125,3.6
H059,H059,50 Cent ft. Olivia,Candy Shop,24,7.225694444,1.944444444,15.26666667,12.65625,4.45,33.56597222,20.87430556,0.0,3.15
H041,H041,50 Cent,In Da Club,43,9.263565891,4.178294574,3.306976744,9.808139535,10.3,35.34883721,16.78837209,0.0,7.593023256
H047,H047,Action Bronson,Actin Crazy,25,6.14,5.436666667,1.056,1.25,13.216,15.14,12.434,0.96,17.16133333
H901,H901,AedFX,Warning,30,6.591666667,9.133333333,1.2,0.0,7.4,22.58611111,13.435,2.244444444,31.73027778
H042,H042,Akua Naru,Poetry: How Does It Feel Now,43,11.90503876,7.949612403,18.34534884,10.65213178,27.32829457,5.209302326,3.572093023,1.457364341,6.345348837
H078,H078,A$AP Rocky,Fashion Killa,33,4.03030303,5.656565657,5.795959596,4.981060606,7.828282828,12.41161616,4.95,2.303030303,10.22045455
H029,H029,BBou,Kanona,29,7.543103448,3.640804598,5.524137931,2.047413793,2.503448276,8.793103448,9.29137931,1.655172414,10.67586207
H046,H046,Beastie Boys,Fight For Your Right,25,12.72333333,4.7,1.002666667,10.335,1.952,26.82733333,22.86866667,0.0,18.68066667
H024,H024,Beginner feat. Samy Deluxe,Füchse,31,10.99731183,8.612903226,1.703225806,4.697580645,17.5516129,26.08817204,10.15645161,3.032258065,6.098387097
H006,H006,Biggie Smalls,Hypnotize,12,26.11805556,12.9375,7.75,20.88541667,17.32083333,24.72222222,13.8,0.0,7.35
H106,H106,Big Sean ft. Kendrick Lamar ft. Kendrick Lamar,Control,27,2.62654321,5.358024691,0.0,0.925925926,1.555555556,14.92901235,12.74506173,1.086419753,20.7345679
H075,H075,Blackalicious,Alphabet Aerobics,33,14.55050505,8.97979798,0.0,1.003787879,6.218181818,24.125,18.33308081,0.0,16.78989899
H009,H009,Black Eyed Peas,Where Is The Love,33,23.56818182,24.06313131,4.236363636,18.32449495,5.86969697,22.34974747,18.01060606,10.21212121,4.682828283
H097,H097,"Blackstreet ft. Dr. Dre, Queen Pen",No Diggity,25,17.71666667,3.943333333,4.616,12.42,13.964,21.35166667,9.063,0.0,2.16
H010,H010,Blumio,Lass Mal Über Haie Reden,27,6.308641975,6.546296296,3.603703704,1.50462963,7.133333333,24.99228395,17.82777778,2.222222222,14.37654321
H902,H902,brillion,Aurora,29,11.87643678,8.350574713,23.71551724,24.91522989,40.42327586,5.270114943,0.0,1.011494253,2.518965517
H045,H045,Bushido,Leben Und Tod Des Kenneth Glöckler,30,11.44333333,11.64444444,1.02,1.166666667,5.075,15.83888889,26.01222222,0.711111111,13.29388889
H022,H022,Cardi B,Bodak Yellow,31,6.397849462,4.704301075,2.574193548,0.987903226,4.335483871,28.91155914,25.86129032,0.0,9.667741935
